Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Display Technology,Screen Size,size_inch,Max. Resolution,COVID-19 Safety
https://www.gumtree.com.au/s-ad/skye/tvs/hisense-smart-tv-55inch/1263047344,400.0,Skye,2020-12-06,2020-12-06,Hisense,Used,,50-60 in,55.0,,
https://www.gumtree.com.au/s-ad/coopers-plains/tvs/sony-46-lcd/1263047220,250.0,Coopers Plains,2020-12-06,2020-12-06,Sony,Used,LCD,40-49 in,46.0,,
https://www.gumtree.com.au/s-ad/malvern/tvs/loewe-tv-for-sale-100-fantastic-condition-/1263046949,100.0,Malvern,2020-12-06,2020-12-06,Other,Used,CRT,Other,,1080p,
https://www.gumtree.com.au/s-ad/petersham/tvs/jvc-4k-55-inch-tv/1263046766,290.0,Petersham,2020-12-06,2020-12-06,,Used,,,55.0,,
https://www.gumtree.com.au/s-ad/sandy-bay/tvs/soniq-43-inch-led-lcd-android-smart-tv-full-hd-/1263046662,260.0,Sandy Bay,2020-12-06,2020-12-06,SONIQ,Used,LED LCD,40-49 in,43.0,1080p,
https://www.gumtree.com.au/s-ad/mandurah/tvs/samsung-42in-tv-w-remote-dvd-player/1263046637,100.0,Mandurah,2020-12-06,2020-12-06,Samsung,Used,Plasma,,,,
https://www.gumtree.com.au/s-ad/rivervale/tvs/hisence-43inch-series-6-brand-new-smart-tv-in-box-/1263046453,450.0,Rivervale,2020-12-06,2020-12-06,Hisense,New,,,43.0,,
https://www.gumtree.com.au/s-ad/hampton-park/tvs/hisense-32inch-full-hd-lcd-tv-no-remote/1263046184,45.0,Hampton Park,2020-12-06,2020-12-06,Hisense,Used,LCD,,32.0,,
https://www.gumtree.com.au/s-ad/st-kilda-east/tvs/lg-4k-tv/1263046011,950.0,St Kilda East,2020-12-06,2020-12-06,LG,Used,LED,50-60 in,,2160p (4K),
https://www.gumtree.com.au/s-ad/chatswood/tvs/hisense-32-inch-hd-tv-with-remote-and-manual/1263045897,150.0,Chatswood,2020-12-06,2020-12-06,Hisense,Used,LCD,30-39 in,32.0,768p,
