Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Screen Size,COVID-19 Safety,Display Technology,Max. Resolution
https://www.gumtree.com.au/s-ad/dickson/tvs/50-inch-panasonic-viera-tv/1255831296,200.0,Dickson,2020-08-31,2020-08-31,Panasonic,Used,,Contactless trade,,
https://www.gumtree.com.au/s-ad/chelsea/tvs/samsung-50-4k-ultra-hd-smart-tv/1255830761,800.0,Chelsea,2020-08-31,2020-08-31,Samsung,Used,50-60 in,Contactless trade,Other,2160p (4K)
https://www.gumtree.com.au/s-ad/morley/tvs/soniq-40inch-tv/1255830765,220.0,Morley,2020-08-31,2020-08-31,SONIQ,Used,40-49 in,,,
https://www.gumtree.com.au/s-ad/butler/tvs/42-samsung-uhd-hdr-4k-smart-tv/1255830696,580.0,Butler,2020-08-31,2020-08-31,,New,,,,
https://www.gumtree.com.au/s-ad/waterloo/tvs/samsung-40-inch-tv/1255830534,150.0,Waterloo,2020-08-31,2020-08-31,Samsung,Used,,,,
https://www.gumtree.com.au/s-ad/liverpool/tvs/jvc-55inch-4k-led-smart-tv/1255830329,400.0,Liverpool,2020-08-31,2020-08-31,JVC,Used,50-60 in,,LED,2160p (4K)
https://www.gumtree.com.au/s-ad/capalaba-west/tvs/55-inch-rose-gold-smart-soniq-tv/1255830296,450.0,Capalaba West,2020-08-31,2020-08-31,SONIQ,Used,50-60 in,,,
https://www.gumtree.com.au/s-ad/waratah-west/tvs/soniq-32-hd-led-lcdtv/1255830223,130.0,Waratah West,2020-08-31,2020-08-31,SONIQ,Used,30-39 in,Contactless trade,LED LCD,2160p (4K)
https://www.gumtree.com.au/s-ad/adelaide-cbd/tvs/vodafone-tv/1247373045,130.0,Adelaide CBD,07/05/2020,14/08/2020,,New,,Contactless trade,,
https://www.gumtree.com.au/s-ad/dandenong/tvs/digital-tv-antenna-data-wall-mount-bracket-foxtel-dish-install/1244934061,190.0,Dandenong,03/04/2020,05/08/2020,,New,,,,
https://www.gumtree.com.au/s-ad/dandenong/tvs/32-2015-tv-soniq-e32v15d-au-hd-led-lcd/1255830203,80.0,Dandenong,2020-08-31,2020-08-31,SONIQ,Used,30-39 in,,LED LCD,
https://www.gumtree.com.au/s-ad/yamba/tvs/32-inch-tv/1255830174,50.0,Yamba,2020-08-31,2020-08-31,Other,Used,30-39 in,,Plasma,
https://www.gumtree.com.au/s-ad/parkside/tvs/tv-and-chrome-cast/1255829725,80.0,Parkside,2020-08-31,2020-08-31,Other,Used,,,,
https://www.gumtree.com.au/s-ad/ipswich/tvs/tcl-led-42inch-tv/1255829533,150.0,Ipswich,2020-08-31,2020-08-31,TCL,Used,,,LED,
https://www.gumtree.com.au/s-ad/jannali/tvs/panasonic-th-55as700a-55inch-140-cm-full-hd-smart-3d-led-lcd-tv/1255829512,400.0,Jannali,2020-08-31,2020-08-31,Panasonic,Used,50-60 in,,LED LCD,1080p
https://www.gumtree.com.au/s-ad/ashford/tvs/tv-panasonic-with-2-hdmi-32-inches-screen-with-remote-control/1255829494,40.0,Ashford,2020-08-31,2020-08-31,Panasonic,Used,,,,
https://www.gumtree.com.au/s-ad/perth/tvs/42-inch-panasonic-tv/1255829471,150.0,Perth,2020-08-31,2020-08-31,Panasonic,Used,40-49 in,,Plasma,
https://www.gumtree.com.au/s-ad/south-granville/tvs/dicksmith-tv-/1255829235,150.0,South Granville,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/labrador/tvs/50-inch-lg-tv/1255829123,230.0,Labrador,2020-08-31,2020-08-31,,Used,,,,
https://www.gumtree.com.au/s-ad/newstead/tvs/samsung-55-tu8000-crystal-udh-4k-smart-tv-2020-/1255828298,1000.0,Newstead,2020-08-31,2020-08-31,Samsung,New,50-60 in,,,
https://www.gumtree.com.au/s-ad/belconnen/tvs/37inch-tv-panasonic-th-l37s10a/1255828273,400.0,Belconnen,2020-08-31,2020-08-31,Panasonic,Used,30-39 in,,LCD,
https://www.gumtree.com.au/s-ad/connolly/tvs/samsung-tv/1255828254,150.0,Connolly,2020-08-31,2020-08-31,Samsung,Used,40-49 in,,LCD,1080i
https://www.gumtree.com.au/s-ad/coolum-beach/tvs/television-tcl-led-108-cm-43-inch-2-years-old/1255828195,320.0,Coolum Beach,2020-08-31,2020-08-31,TCL,Used,40-49 in,,LED,
https://www.gumtree.com.au/s-ad/parklea/tvs/lg-42-inch-tv-excellent-condition-with-working-remote-for-sale/1255827983,150.0,Parklea,2020-08-31,2020-08-31,LG,Used,40-49 in,Contactless trade,LCD,1080p
https://www.gumtree.com.au/s-ad/mount-warrigal/tvs/samsung-smart-tv/1255827591,230.0,Mount Warrigal,2020-08-31,2020-08-31,Samsung,Used,30-39 in,Contactless trade,LED,1080p
https://www.gumtree.com.au/s-ad/morphett-vale/tvs/senzu-37-inch-lcd-tv-with-remote/1255827374,100.0,Morphett Vale,2020-08-31,2020-08-31,Other,Used,30-39 in,,LCD,
https://www.gumtree.com.au/s-ad/hillarys/tvs/near-new-4k-ultra-hd-55-falcon-smart-tv/1255827247,400.0,Hillarys,2020-08-31,2020-08-31,Other,Used,50-60 in,,Other,2160p (4K)
https://www.gumtree.com.au/s-ad/docklands/tvs/sony-55-smart-tv/1255827229,500.0,Docklands,2020-08-31,2020-08-31,Sony,Used,,,,
https://www.gumtree.com.au/s-ad/rockdale-area/tvs/sony-75-inch-tv-75-x8500d-4k-hdr-tv/1255827057,3100.0,Rockdale Area,2020-08-31,2020-08-31,Sony,Used,Other,,LED LCD,2160p (4K)
https://www.gumtree.com.au/s-ad/south-morang/tvs/toshiba-40-inch-tv-in-excellent-condition/1255827042,80.0,South Morang,2020-08-31,2020-08-31,Other,Used,40-49 in,,LCD,
https://www.gumtree.com.au/s-ad/bellevue-hill/tvs/smart-tv-ultra-hd-4k-55-/1255826873,950.0,Bellevue Hill,2020-08-31,2020-08-31,TCL,New,50-60 in,,LED,2160p (4K)
https://www.gumtree.com.au/s-ad/adelaide-cbd/tvs/rare-compact-teac-retro-gaming-crt-tv-with-remote/1255826859,75.0,Adelaide CBD,2020-08-31,2020-08-31,,Used,,Contactless trade,,
https://www.gumtree.com.au/s-ad/darlington/tvs/50-inch-lg-flat-screen-tv/1255826563,200.0,Darlington,2020-08-31,2020-08-31,LG,Used,,,LED LCD,1080p
